"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.60473649337388e-79,2.54239011574601,0.42,0.128,4.86460587502505e-75,"3","Slc16a1"
1.55227238384494e-19,1.81678705747435,0.183,0.075,2.89902390406881e-15,"3","Adm"
4.47794477223005e-06,1.67412302719815,0.101,0.056,0.0836300965661684,"3","Ch25h"
1.1547788150076e-13,1.56551905902141,0.141,0.061,2.15666491490819e-09,"3","Slc19a3"
1.80340376891908e-11,1.5420666009531,0.114,0.048,3.36803687883327e-07,"3","Unc45b"
1.16624400314807e-14,1.5090974810336,0.149,0.062,2.17807730027933e-10,"3","Rassf9"
2.29067294215889e-18,1.45805840433658,0.195,0.085,4.27806078677595e-14,"3","Notum"
1.19566105469202e-51,1.45656867489694,0.469,0.213,2.23301658574282e-47,"3","Nostrin"
7.07665012962666e-17,1.43423625131695,0.173,0.073,1.32163517820908e-12,"3","Cdkn2b"
5.53073428155729e-32,1.41916365646169,0.365,0.178,1.03291993442364e-27,"3","Slc38a5"
4.85193282853875e-36,1.91255211747791,0.274,0.091,9.06146975057896e-32,"1","Gsr"
0.00494968675167472,1.83622783714795,0.1,0.069,1,"1","Wfdc17"
2.25205874732327e-38,1.7850394283698,0.282,0.092,4.20594491650094e-34,"1","Hdac2"
1.85449066708399e-53,1.65341772598217,0.404,0.141,3.46344676984606e-49,"1","Sucla2"
1.92272242345381e-54,1.50236555020717,0.461,0.18,3.59087639804234e-50,"1","Suclg1"
1.37094081170122e-28,1.49071592298198,0.253,0.092,2.5603690599332e-24,"1","Hdac3"
0.000184299542008966,1.32603746865745,0.231,0.172,1,"1","Gsn"
1.32854133415945e-06,1.25463768178945,0.1,0.05,0.024811837956762,"1","Snhg18"
1.32486006161866e-08,1.24154653448671,0.112,0.051,0.0002474308651079,"1","Anxa1"
2.87115755334641e-06,1.21634528005478,0.202,0.134,0.0536217384662975,"1","Tagln"
9.63534927140691e-272,2.99472510479951,0.836,0.199,1.79949782992795e-267,"2","Ldhb"
5.1221592478081e-25,2.5630388930663,0.115,0.022,9.56614461120642e-21,"2","Slc16a3"
3.74754579966219e-21,2.34058306706572,0.146,0.046,6.99891653544911e-17,"2","Nkain4"
3.7527224992296e-14,2.18695810379791,0.305,0.196,7.0085845395612e-10,"2","Aldoc"
3.92293072899442e-18,2.15637530618377,0.138,0.048,7.32646542946997e-14,"2","Scg3"
2.68421490343285e-17,2.10066424659493,0.125,0.041,5.01303975365119e-13,"2","Acsbg1"
2.71699665270499e-17,2.0909351643075,0.125,0.041,5.07426294859184e-13,"2","Timp4"
1.9579972119937e-20,2.06475606073246,0.107,0.025,3.65675559311944e-16,"2","Hnmt"
1.02180572582591e-20,2.05688785831165,0.127,0.035,1.90832437355247e-16,"2","Slc39a12"
1.14343267009529e-16,2.04235404577309,0.116,0.036,2.13547485466996e-12,"2","Acsl6"
